City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,sechura,-5.5569,-80.8222,295.63,67,100,6.1,PE,1674088868
262,grand gaube,-20.0064,57.6608,298.92,87,92,4.02,MU,1674088868
263,bilibino,68.0546,166.4372,235.68,98,100,0.86,RU,1674088869
264,nanortalik,60.1432,-45.2371,271.17,82,100,6.54,GL,1674088793
265,masuguru,-11.3667,38.4167,294.76,98,100,0.95,TZ,1674088871
266,namie,37.4833,141.0,278.7,61,4,2.92,JP,1674088872
267,luganville,-15.5333,167.1667,298.26,93,100,4.61,VU,1674088872
268,kupang,-10.1667,123.5833,301.47,89,40,3.09,ID,1674088874
269,ribeira grande,38.5167,-28.7,285.8,84,18,1.79,PT,1674088875
270,kuandian,40.7286,124.7847,265.46,85,64,1.28,CN,1674088875
271,san andres,12.5847,-81.7006,300.16,78,20,3.09,CO,1674088872
272,sitio novo do tocantins,-5.5183,-47.4611,294.31,97,92,1.76,BR,1674088877
273,salinopolis,-0.6136,-47.3561,297.5,83,100,2.09,BR,1674088878
274,estepa,37.2926,-4.879,275.81,86,0,2.55,ES,1674088798
275,port hardy,50.6996,-127.4199,276.25,93,40,2.06,CA,1674088879
276,saint george,37.1041,-113.5841,281.48,42,20,4.63,US,1674088610
277,lompoc,34.6391,-120.4579,286.36,76,20,4.12,US,1674088880
278,krasnorechenskiy,44.6265,135.3532,262.14,77,100,1.38,RU,1674088881
279,sao felix do xingu,-6.6447,-51.995,294.5,98,100,0.59,BR,1674088882
280,senneterre,48.3835,-77.2328,263.53,94,100,3.31,CA,1674088883
281,chanika,-5.4167,38.0167,292.63,97,100,1.16,TZ,1674088884
282,prince rupert,54.3161,-130.3201,277.98,97,100,8.75,CA,1674088658
283,kenai,60.5544,-151.2583,268.2,92,100,2.06,US,1674088674
284,shelabolikha,53.4131,82.6167,260.27,85,100,5.12,RU,1674088886
285,brownsville,25.9018,-97.4975,299.31,87,0,4.12,US,1674088887
286,labuhan,-6.8844,112.2051,299.37,83,100,3.88,ID,1674088888
287,tura,25.5198,90.2201,283.32,69,0,1.58,IN,1674088888
288,imbituba,-28.24,-48.6703,296.35,92,87,2.49,BR,1674088889
289,chokwe,-24.5333,32.9833,298.44,75,100,2.69,MZ,1674088890
290,tianpeng,30.9866,103.9393,271.41,50,0,1.04,CN,1674088891
291,sept-iles,50.2001,-66.3821,274.44,87,100,3.09,CA,1674088877
292,araouane,18.9048,-3.5265,293.86,15,100,2.5,ML,1674088892
293,iqaluit,63.7506,-68.5145,245.2,68,0,3.09,CA,1674088893
294,gallup,35.5281,-108.7426,270.57,76,7,0.89,US,1674088720
295,bull savanna,17.8868,-77.5902,296.55,79,76,5.21,JM,1674088895
296,salym,60.0625,71.4789,257.68,99,77,1.98,RU,1674088895
297,yelizovo,53.1873,158.3805,263.23,66,75,9.83,RU,1674088897
298,novospasskoye,53.1468,47.7514,254.93,99,70,1.99,RU,1674088897
299,shizunai,42.3339,142.3669,268.89,57,56,1.49,JP,1674088697
300,springfield,37.2153,-93.2982,282.58,94,0,4.12,US,1674088810
301,pemba,-12.974,40.5178,298.54,88,20,2.06,MZ,1674088901
302,nome,64.5011,-165.4064,250.19,70,0,2.57,US,1674088901
303,svetlyy,54.675,20.1347,277.18,78,86,3.86,RU,1674088902
304,kedrovyy,56.1667,91.8167,247.38,96,100,2.37,RU,1674088903
305,andenes,69.3143,16.1194,272.55,64,100,5.14,NO,1674088904
